,org_pin,dst_pin,po_del,len,wid,dep,vol_wt,act_wt,obj_cost,service,period,price,gstPer,basePrice,gst,charge_wt,org_state,org_lat,org_long,org_hasMetroCity,org_isSpecialDest,org_po_del,dst_state,dst_lat,dst_long,dst_hasMetroCity,dst_isSpecialDest,dst_po_del
399,585105,799131,0,30.0,30.0,10.0,1800,1863,8694,PREMIUM,8 Day/s,1115,18,1115,170,1863,KARNATAKA,17.32429165,76.84894445,1,0,False,TRIPURA,23.055887335,82.681853445,0,1,True
400,328001,799131,1,34.0,33.0,6.0,1347,158,17612,PREMIUM,8 Day/s,870,18,870,133,1347,RAJASTHAN,26.719655,77.89229915,0,0,False,TRIPURA,23.055887335,82.681853445,0,1,True
401,786005,799131,1,48.1,40.4,38.9,15118,15247,14743,PREMIUM,8 Day/s,3280,18,3280,500,15247,ASSAM,27.1059,95.0143,0,1,True,TRIPURA,23.055887335,82.681853445,0,1,True
402,786005,799131,1,48.1,40.4,38.9,15118,10890,16496,PREMIUM,8 Day/s,3280,18,3280,500,15119,ASSAM,27.1059,95.0143,0,1,True,TRIPURA,23.055887335,82.681853445,0,1,True
403,521178,799131,1,21.7,11.5,6.6,329,685,8780,PREMIUM,7 Day/s,625,18,625,95,685,ANDHRAPRADESH,16.857546,80.187123,0,0,True,TRIPURA,23.055887335,82.681853445,0,1,True
404,305024,799131,1,17.7,10.1,10.1,361,66,21905,PREMIUM,7 Day/s,380,18,380,58,362,RAJASTHAN,26.4729,74.7152,0,0,True,TRIPURA,23.055887335,82.681853445,0,1,True
405,134003,825322,1,17.7,10.1,10.1,361,22,14287,PREMIUM,7 Day/s,380,18,380,58,362,HARYANA,30.38258335,76.77158335,0,0,False,JHARKHAND,246.0,8549.0,0,0,True
406,134003,413208,1,22.86,15.24,7.62,530,724,17995,PREMIUM,6 Day/s,625,18,625,95,724,HARYANA,30.38258335,76.77158335,0,0,False,MAHARASHTRA,18.0806395,75.41435105,1,0,True
407,134003,413208,1,22.86,15.24,7.62,530,1166,4816,PREMIUM,6 Day/s,870,18,870,133,1166,HARYANA,30.38258335,76.77158335,0,0,False,MAHARASHTRA,18.0806395,75.41435105,1,0,True
408,413203,413208,1,30.0,30.0,10.0,1800,2251,20238,PREMIUM,3 Day/s,560,18,560,85,2251,MAHARASHTRA,18.379492,75.190183,1,0,False,MAHARASHTRA,18.0806395,75.41435105,1,0,True
409,413203,413208,1,30.0,30.0,10.0,1800,1875,2921,PREMIUM,3 Day/s,475,18,475,72,1875,MAHARASHTRA,18.379492,75.190183,1,0,False,MAHARASHTRA,18.0806395,75.41435105,1,0,True
410,581304,413208,1,27.7,20.9,22.5,2605,1492,20652,PREMIUM,6 Day/s,1605,18,1605,245,2606,KARNATAKA,14.8313606,74.1434231,1,0,True,MAHARASHTRA,18.0806395,75.41435105,1,0,True
411,444805,413208,0,33.0,25.0,35.0,5775,2201,24117,PREMIUM,4 Day/s,1155,18,1155,176,5775,MAHARASHTRA,20.91725,76.8486389,1,0,False,MAHARASHTRA,18.0806395,75.41435105,1,0,True
412,424006,413208,1,15.16,15.16,7.0,321,455,21023,PREMIUM,4 Day/s,220,18,220,34,455,MAHARASHTRA,20.81568355,74.74939395,1,0,True,MAHARASHTRA,18.0806395,75.41435105,1,0,True
413,413101,413208,1,27.7,20.9,22.5,2605,2624,7543,PREMIUM,3 Day/s,645,18,645,98,2624,MAHARASHTRA,17.887408999999998,75.0305995,1,0,True,MAHARASHTRA,18.0806395,75.41435105,1,0,True
414,413101,413208,1,27.7,20.9,22.5,2605,1718,22739,PREMIUM,3 Day/s,645,18,645,98,2606,MAHARASHTRA,17.887408999999998,75.0305995,1,0,True,MAHARASHTRA,18.0806395,75.41435105,1,0,True
415,134003,686008,1,22.86,15.24,7.62,530,972,17976,PREMIUM,2 Day/s,625,18,625,95,972,HARYANA,30.38258335,76.77158335,0,0,False,KERALA,9.6089095,76.5213,0,0,True
416,722146,686008,1,15.16,15.16,7.0,321,518,16835,PREMIUM,3 Day/s,625,18,625,95,518,WESTBENGAL,23.2371707,87.0652122,1,0,True,KERALA,9.6089095,76.5213,0,0,True
417,722146,686008,1,15.16,15.16,7.0,321,874,6333,PREMIUM,3 Day/s,625,18,625,95,874,WESTBENGAL,23.2371707,87.0652122,1,0,True,KERALA,9.6089095,76.5213,0,0,True
418,134003,226005,0,10.16,10.16,3.81,70,78,20102,PREMIUM,2 Day/s,305,18,305,47,79,HARYANA,30.38258335,76.77158335,0,0,False,UTTARPRADESH,26.815877,80.916055,0,0,False
419,764073,226005,0,17.7,10.1,10.1,361,892,13862,PREMIUM,3 Day/s,625,18,625,95,892,ODISHA,19.6731078,82.1768351,0,0,False,UTTARPRADESH,26.815877,80.916055,0,0,False
420,764073,226005,0,17.7,10.1,10.1,361,105,8892,PREMIUM,3 Day/s,380,18,380,58,362,ODISHA,19.6731078,82.1768351,0,0,False,UTTARPRADESH,26.815877,80.916055,0,0,False
421,134003,493661,1,17.7,10.1,10.1,361,627,21773,PREMIUM,7 Day/s,625,18,625,95,627,HARYANA,30.38258335,76.77158335,0,0,False,CHHATTISGARH,21.5,81.5,0,0,True
422,134003,493661,1,17.7,10.1,10.1,361,315,9438,PREMIUM,7 Day/s,380,18,380,58,362,HARYANA,30.38258335,76.77158335,0,0,False,CHHATTISGARH,21.5,81.5,0,0,True
423,209734,493661,1,33.7,32.2,10.0,2170,1064,18083,PREMIUM,8 Day/s,1360,18,1360,207,2171,UTTARPRADESH,79.925903,27.028612,0,0,True,CHHATTISGARH,21.5,81.5,0,0,True
424,632059,493661,1,17.7,10.1,10.1,361,942,23629,PREMIUM,6 Day/s,625,18,625,95,942,TAMILNADU,12.9974,79.12662499999999,1,0,True,CHHATTISGARH,21.5,81.5,0,0,True
425,134003,521340,1,22.86,15.24,7.62,530,600,12911,PREMIUM,4 Day/s,625,18,625,95,600,HARYANA,30.38258335,76.77158335,0,0,False,ANDHRAPRADESH,16.58,81.29,0,0,True
426,761031,521340,1,55.0,45.0,41.0,20295,10897,19408,PREMIUM,5 Day/s,8085,18,8085,1233,20295,ODISHA,19.63452825,85.0031835,0,0,True,ANDHRAPRADESH,16.58,81.29,0,0,True
