,org_pin,dst_pin,po_del,len,wid,dep,vol_wt,act_wt,obj_cost,service,period,price,gstPer,basePrice,gst,charge_wt,min_price,eddDays,org_state,org_lat,org_long,org_hasMetroCity,org_isSpecialDest,org_po_del,dst_state,dst_lat,dst_long,dst_hasMetroCity,dst_isSpecialDest,dst_po_del
7882,229127,628751,1,27.7,20.9,22.5,2605,1406,18127,PREMIUM,4 Day/s,1605,18,1605,245,2606,1605,4,UTTARPRADESH,26.0274444,81.4239,0,0,True,TAMILNADU,8.656172,77.9977222,1,0,True
7883,575001,493881,0,27.7,20.9,22.5,2605,617,3418,PREMIUM,4 Day/s,1605,18,1605,245,2606,1605,4,KARNATAKA,12.8608611,74.840937,1,0,False,CHHATTISGARH,20.58028,81.5143,0,0,True
7884,813101,686506,0,17.7,10.1,10.1,361,363,4523,STD EXP-A,6 - 7 Day/s,190,18,190,29,363,190,7,BIHAR,25.358,84.64750000000001,0,0,True,KERALA,9.563325,76.765832,0,0,False
7885,813101,691535,1,33.0,25.0,35.0,5775,2077,14857,AIR CARGO,7 - 8 Day/s,1200,18,1200,183,5775,1200,8,BIHAR,25.358,84.64750000000001,0,0,True,KERALA,8.83,76.87,0,0,True
7886,686506,813101,0,17.7,10.1,10.1,361,363,4523,STD EXP-A,7 - 8 Day/s,192,19,192,31,363,192,8,KERALA,9.563325,76.765832,0,0,False,BIHAR,25.358,84.64750000000001,0,0,True
7887,691535,813101,1,33.0,25.0,35.0,5775,2077,14857,AIR CARGO,7 - 8 Day/s,1212,19,1212,194,5775,1212,8,KERALA,8.83,76.87,0,0,True,BIHAR,25.358,84.64750000000001,0,0,True
7888,680001,441104,0,33.7,32.2,18.0,3900,935,21602,STD EXP-A,4 - 5 Day/s,1055,19,1055,168,3907,1055,5,KERALA,10.5020556,76.2025278,0,0,False,MAHARASHTRA,21.145726,79.340219,1,0,False
7889,441108,441104,1,34.0,33.0,6.0,1347,1041,13274,STD EXP-A,2 - 3 Day/s,150,18,150,23,1347,150,3,MAHARASHTRA,20.9482765,79.03731400000001,1,0,True,MAHARASHTRA,21.145726,79.340219,1,0,False
7890,441104,680001,0,33.7,32.2,18.0,3900,935,21602,STD EXP-A,4 - 5 Day/s,1055,18,1055,161,3907,1055,5,MAHARASHTRA,21.145726,79.340219,1,0,False,KERALA,10.5020556,76.2025278,0,0,False
7891,441104,441108,1,34.0,33.0,6.0,1347,1041,13274,GROUND EXPRESS,2 - 3 Day/s,195,18,195,30,1418,195,3,MAHARASHTRA,21.145726,79.340219,1,0,False,MAHARASHTRA,20.9482765,79.03731400000001,1,0,True
7892,454665,441108,1,22.86,15.24,7.62,530,112,16841,STD EXP-A,4 - 5 Day/s,325,18,325,50,531,325,5,MADHYAPRADESH,22.895368,75.2,0,0,True,MAHARASHTRA,20.9482765,79.03731400000001,1,0,True
7893,523169,284403,0,21.0,10.1,15.5,657,885,21150,STD EXP-A,7 - 8 Day/s,325,18,325,50,885,325,8,ANDHRAPRADESH,15.963702,80.285868,0,0,True,UTTARPRADESH,24.4698,78.3373,0,0,False
7894,421101,284403,0,48.1,40.4,38.9,15118,9326,7214,GROUND EXPRESS,7 - 8 Day/s,2000,18,2000,305,15915,2000,8,MAHARASHTRA,19.3665278,73.1746389,1,0,True,UTTARPRADESH,24.4698,78.3373,0,0,False
7895,284403,421101,0,48.1,40.4,38.9,15118,9326,7214,GROUND EXPRESS,6 - 7 Day/s,1600,18,1600,244,15915,1600,7,UTTARPRADESH,24.4698,78.3373,0,0,False,MAHARASHTRA,19.3665278,73.1746389,1,0,True
7896,416112,421101,1,10.16,10.16,3.81,70,186,8742,GROUND EXPRESS,3 - 4 Day/s,195,18,195,30,186,195,4,MAHARASHTRA,16.4310833,74.1414444,1,0,True,MAHARASHTRA,19.3665278,73.1746389,1,0,True
7897,635202,332710,1,30.0,30.0,10.0,1800,588,15089,PREMIUM,4 Day/s,1115,18,1115,170,1800,1115,4,TAMILNADU,12.18465,78.3494,1,0,True,RAJASTHAN,27.2219294,75.2770721,0,0,True
7898,635202,800014,0,33.7,32.2,18.0,3900,1828,12168,STD EXP-A,4 - 5 Day/s,1055,18,1055,161,3907,1055,5,TAMILNADU,12.18465,78.3494,1,0,True,BIHAR,25.594433,85.096745,0,0,False
7899,332710,635202,1,30.0,30.0,10.0,1800,588,15089,PREMIUM,4 Day/s,1115,18,1115,170,1800,1115,4,RAJASTHAN,27.2219294,75.2770721,0,0,True,TAMILNADU,12.18465,78.3494,1,0,True
7900,800014,635202,0,33.7,32.2,18.0,3900,1828,12168,PREMIUM,5 Day/s,2095,18,2095,320,3907,2095,5,BIHAR,25.594433,85.096745,0,0,False,TAMILNADU,12.18465,78.3494,1,0,True
7901,786623,713333,1,55.0,45.0,41.0,20295,15089,20572,GROUND EXPRESS,9 - 10 Day/s,1760,18,1760,268,21364,1760,10,ASSAM,27.19475,95.3586111,0,1,True,WESTBENGAL,23.692297,86.829565,1,0,True
7902,472442,713333,1,33.7,32.2,18.0,3900,3692,9918,STD EXP-A,8 - 9 Day/s,1055,18,1055,161,3907,1055,9,MADHYAPRADESH,24.5271,78.8269,0,0,True,WESTBENGAL,23.692297,86.829565,1,0,True
7903,516213,713333,1,22.0,11.5,7.5,380,288,23145,STD EXP-A,7 - 8 Day/s,190,18,190,29,380,190,8,ANDHRAPRADESH,14.4017267,79.0244217,0,0,True,WESTBENGAL,23.692297,86.829565,1,0,True
7904,786623,695011,1,36.7,30.0,28.9,6363,5930,1846,AIR CARGO,5 - 6 Day/s,1400,18,1400,214,6364,1400,6,ASSAM,27.19475,95.3586111,0,1,True,KERALA,8.54,76.91,0,0,False
7905,226101,695011,1,21.0,10.1,15.5,657,257,4115,STD EXP-A,4 - 5 Day/s,325,18,325,50,658,325,5,UTTARPRADESH,26.869397,80.7768613,0,0,True,KERALA,8.54,76.91,0,0,False
7906,713333,516213,1,22.0,11.5,7.5,380,288,23145,STD EXP-A,5 - 6 Day/s,190,18,190,29,380,190,6,WESTBENGAL,23.692297,86.829565,1,0,True,ANDHRAPRADESH,14.4017267,79.0244217,0,0,True
7907,125051,152123,0,30.0,30.0,10.0,1800,649,4793,GROUND EXPRESS,4 - 5 Day/s,195,18,195,30,1895,195,5,HARYANA,29.6853055,75.5762777,0,0,False,PUNJAB,30.403726,74.03525,0,0,False
7908,600007,152123,0,33.0,25.0,35.0,5775,6749,22337,AIR CARGO,5 - 6 Day/s,1400,18,1400,214,6749,1400,6,TAMILNADU,13.1501944,80.4380833,1,0,True,PUNJAB,30.403726,74.03525,0,0,False
7909,152123,600007,0,33.0,25.0,35.0,5775,6749,22337,AIR CARGO,3 - 4 Day/s,1190,18,1190,182,6749,1190,4,PUNJAB,30.403726,74.03525,0,0,False,TAMILNADU,13.1501944,80.4380833,1,0,True
7910,764087,600007,1,21.7,11.5,6.6,329,560,2728,STD EXP-A,4 - 5 Day/s,285,18,285,43,560,285,5,ODISHA,18.61,81.5808366,0,0,True,TAMILNADU,13.1501944,80.4380833,1,0,True
7911,441501,201015,0,21.0,10.1,15.5,657,1373,15427,STD EXP-A,3 - 4 Day/s,460,18,460,70,1373,460,4,MAHARASHTRA,21.2266667,78.9010833,1,0,False,UTTARPRADESH,28.6842669,77.5232815,0,0,True
7912,641019,274301,1,15.16,15.16,7.0,321,268,18547,STD EXP-A,7 - 8 days,190,18,190,29,322,190,8,TAMILNADU,11.17874,76.9603959,1,0,True,UTTARPRADESH,26.73,83.29,0,0,True
7913,742101,571105,1,36.7,30.0,28.9,6363,1494,23120,AIR CARGO,5 - 6 Day/s,1400,18,1400,214,6364,1400,6,WESTBENGAL,23.0004371,88.0005787,1,0,False,KARNATAKA,12.30611111,76.29138889,1,0,True
7914,422013,226023,0,34.0,33.0,35.0,7854,2529,17605,GROUND EXPRESS,5 - 6 Day/s,1125,18,1125,172,8268,1125,6,MAHARASHTRA,20.03025,73.6953,1,0,False,UTTARPRADESH,26.8208665,80.91526200000001,0,0,False
7915,577228,673581,1,34.0,33.0,6.0,1347,776,7092,STD EXP-A,4 - 5 Day/s,240,18,240,37,1347,240,5,KARNATAKA,13.7391263,75.8514704,1,0,True,KERALA,11.54,76.24,0,0,True
7916,824231,673581,1,17.7,10.1,10.1,361,387,2739,STD EXP-A,6 - 7 Day/s,190,18,190,29,387,190,7,BIHAR,24.6867467,84.9438365,0,0,True,KERALA,11.54,76.24,0,0,True
7917,110033,523333,0,17.7,10.1,10.1,361,331,18325,STD EXP-A,4 - 5 Day/s,190,18,190,29,362,190,5,DELHI,28.72744445,77.17415274999999,1,0,False,ANDHRAPRADESH,15.7,79.08,0,0,False
7918,110033,518302,1,17.7,10.1,10.1,361,655,17192,STD EXP-A,3 - 4 Day/s,325,18,325,50,655,325,4,DELHI,28.72744445,77.17415274999999,1,0,False,ANDHRAPRADESH,14.68888889,77.58533333,0,0,True
7919,721649,518302,1,68.58,33.02,35.56,16105,11639,11434,GROUND EXPRESS,4 - 5 Day/s,2125,18,2125,324,16953,2125,5,WESTBENGAL,22.3578,88.1922,1,0,True,ANDHRAPRADESH,14.68888889,77.58533333,0,0,True
7920,560046,636013,1,48.1,40.4,38.9,15118,6585,17869,GROUND EXPRESS,2 - 3 Day/s,1280,18,1280,195,15915,1280,3,KARNATAKA,12.1526111,78.0098056,1,0,True,TAMILNADU,11.6698735,78.0298525,1,0,True
7921,636013,560046,1,48.1,40.4,38.9,15118,6585,17869,GROUND EXPRESS,2 - 3 Day/s,1280,18,1280,195,15915,1280,3,TAMILNADU,11.6698735,78.0298525,1,0,True,KARNATAKA,12.1526111,78.0098056,1,0,True
7922,754006,516115,0,17.7,10.1,10.1,361,132,22722,STD EXP-A,6 - 7 Day/s,190,18,190,29,362,190,7,ODISHA,20.44562915,85.76232025,0,0,True,ANDHRAPRADESH,14.196528,79.160131,0,0,False
7923,754006,679321,1,55.0,45.0,41.0,20295,24925,12294,GROUND EXPRESS,5 - 6 Day/s,3125,18,3125,477,24925,3125,6,ODISHA,20.44562915,85.76232025,0,0,True,KERALA,10.982695,76.161725,0,0,True
7924,174004,679321,1,48.1,40.4,38.9,15118,12215,6926,GROUND EXPRESS,6 - 7 Day/s,2000,18,2000,305,15915,2000,7,HIMACHALPRADESH,31.3913,76.7495,0,0,True,KERALA,10.982695,76.161725,0,0,True
7925,516115,754006,0,17.7,10.1,10.1,361,132,22722,STD EXP-A,5 - 6 Day/s,190,18,190,29,362,190,6,ANDHRAPRADESH,14.196528,79.160131,0,0,False,ODISHA,20.44562915,85.76232025,0,0,True
7926,679321,754006,1,55.0,45.0,41.0,20295,24925,12294,GROUND EXPRESS,6 - 7 Day/s,2900,19,2900,463,24925,2900,7,KERALA,10.982695,76.161725,0,0,True,ODISHA,20.44562915,85.76232025,0,0,True
7927,732124,534176,1,41.7,35.9,36.9,11048,7244,11278,GROUND EXPRESS,6 - 7 Day/s,1500,18,1500,229,11630,1500,7,WESTBENGAL,25.011173,88.141133,1,0,True,ANDHRAPRADESH,16.991376,81.4127778,0,0,True
7928,534176,732124,1,41.7,35.9,36.9,11048,7244,11278,GROUND EXPRESS,6 - 7 Day/s,1500,18,1500,229,11630,1500,7,ANDHRAPRADESH,16.991376,81.4127778,0,0,True,WESTBENGAL,25.011173,88.141133,1,0,True
7929,721433,679503,1,48.1,40.4,38.9,15118,10312,10265,GROUND EXPRESS,8 - 9 Day/s,2000,18,2000,305,15915,2000,9,WESTBENGAL,21.759349,87.6685337,1,0,True,KERALA,11.2807,75.9955,0,0,True
7930,637101,695501,1,15.16,15.16,7.0,321,433,12543,STD EXP-A,4 - 5 Day/s,120,18,120,18,433,120,5,TAMILNADU,11.6121766,77.823315,1,0,True,KERALA,8.40957,77.035,0,0,True
7931,764071,695501,1,30.0,30.0,10.0,1800,1265,15436,PREMIUM,5 Day/s,1115,18,1115,170,1800,1115,5,ODISHA,19.3943186,82.5384838,0,0,True,KERALA,8.40957,77.035,0,0,True
7932,575011,695501,0,30.0,30.0,10.0,1800,925,4939,GROUND EXPRESS,5 - 6 Day/s,240,18,240,37,1895,240,6,KARNATAKA,12.96257235,74.83066819999999,1,0,False,KERALA,8.40957,77.035,0,0,True
7933,637101,303103,1,55.0,45.0,41.0,20295,25562,13011,GROUND EXPRESS,6 - 7 Day/s,3250,18,3250,496,25562,3250,7,TAMILNADU,11.6121766,77.823315,1,0,True,RAJASTHAN,27.020781,76.16159999999999,0,0,True
7934,695501,637101,1,15.16,15.16,7.0,321,433,12543,STD EXP-A,4 - 5 Day/s,122,19,122,19,433,122,5,KERALA,8.40957,77.035,0,0,True,TAMILNADU,11.6121766,77.823315,1,0,True
7935,303103,637101,1,55.0,45.0,41.0,20295,25562,13011,GROUND EXPRESS,6 - 7 Day/s,3250,18,3250,496,25562,3250,7,RAJASTHAN,27.020781,76.16159999999999,0,0,True,TAMILNADU,11.6121766,77.823315,1,0,True
7936,641032,600045,0,30.0,30.0,10.0,1800,702,5950,GROUND EXPRESS,2 - 3 Day/s,195,18,195,30,1895,195,3,TAMILNADU,10.84572495,76.9655983,1,0,True,TAMILNADU,12.9278611,80.1176389,1,0,False
7937,742136,629158,0,34.0,33.0,6.0,1347,429,9310,STD EXP-A,5 - 6 Day/s,460,18,460,70,1347,460,6,WESTBENGAL,24.0589,88.12,1,0,True,TAMILNADU,8.2857361,77.2672778,1,0,False
7938,742136,243005,1,34.0,33.0,6.0,1347,872,19336,STD EXP-A,4 - 5 Day/s,460,18,460,70,1347,460,5,WESTBENGAL,24.0589,88.12,1,0,True,UTTARPRADESH,28.34473,79.4314,0,0,False
7939,581206,742136,1,10.16,10.16,3.81,70,763,17377,STD EXP-A,5 - 6 Day/s,325,18,325,50,763,325,6,KARNATAKA,15.6001343,74.9959192,1,0,True,WESTBENGAL,24.0589,88.12,1,0,True
7940,629158,742136,0,34.0,33.0,6.0,1347,429,9310,STD EXP-A,6 - 7 Day/s,460,18,460,70,1347,460,7,TAMILNADU,8.2857361,77.2672778,1,0,False,WESTBENGAL,24.0589,88.12,1,0,True
7941,243005,742136,1,34.0,33.0,6.0,1347,872,19336,STD EXP-A,5 - 6 Day/s,460,18,460,70,1347,460,6,UTTARPRADESH,28.34473,79.4314,0,0,False,WESTBENGAL,24.0589,88.12,1,0,True
7942,573103,695021,0,17.7,10.1,10.1,361,780,3102,PREMIUM,5 Day/s,435,18,435,66,780,435,5,KARNATAKA,13.32,76.27,1,0,False,KERALA,8.52,76.898389,0,0,False
