,org_pin,dst_pin,po_del,len,wid,dep,vol_wt,act_wt,obj_cost,service,period,price,gstPer,basePrice,gst,charge_wt,min_price,eddDays,org_state,org_lat,org_long,org_hasMetroCity,org_isSpecialDest,org_po_del,dst_state,dst_lat,dst_long,dst_hasMetroCity,dst_isSpecialDest,dst_po_del
7356,811105,602002,0,34.0,33.0,35.0,7854,7502,16657,GROUND EXPRESS,7 - 8 Day/s,1125,18,1125,172,8268,1125,8,BIHAR,85.8080427,25.141694,0,0,False,TAMILNADU,13.101528,79.9129635,1,0,True
7357,700082,570028,1,33.7,32.2,10.0,2170,2043,12408,PREMIUM,3 Day/s,1360,18,1360,207,2171,1360,3,WESTBENGAL,22.5222914,88.34368549999999,1,0,False,KARNATAKA,12.29936111,76.70113889,1,0,True
7358,575018,570028,1,30.0,30.0,10.0,1800,1516,12972,GROUND EXPRESS,2 - 3 Day/s,195,18,195,30,1895,195,3,KARNATAKA,12.7866789,74.9079167,1,0,True,KARNATAKA,12.29936111,76.70113889,1,0,True
7359,325219,570028,1,22.0,11.5,7.5,380,279,7869,STD EXP-A,3 - 4 Day/s,190,18,190,29,380,190,4,RAJASTHAN,24.74,76.66499999999999,0,0,True,KARNATAKA,12.29936111,76.70113889,1,0,True
7360,563119,570028,1,68.58,33.02,35.56,16105,14107,18013,GROUND EXPRESS,1 - 2 Day/s,1105,18,1105,169,16953,1105,2,KARNATAKA,12.9259444,78.2660278,1,0,True,KARNATAKA,12.29936111,76.70113889,1,0,True
7361,575019,570028,1,27.7,20.9,22.5,2605,2605,9301,GROUND EXPRESS,2 - 3 Day/s,195,18,195,30,2743,195,3,KARNATAKA,12.96506475,74.81388849999999,1,0,False,KARNATAKA,12.29936111,76.70113889,1,0,True
7362,581411,570028,1,34.0,33.0,35.0,7854,6399,18807,PREMIUM,2 Day/s,1495,18,1495,228,7854,1495,2,KARNATAKA,15.42,75.63,1,0,True,KARNATAKA,12.29936111,76.70113889,1,0,True
7363,581411,570028,1,34.0,33.0,35.0,7854,1552,18819,PREMIUM,2 Day/s,1495,18,1495,228,7854,1495,2,KARNATAKA,15.42,75.63,1,0,True,KARNATAKA,12.29936111,76.70113889,1,0,True
7364,700082,517587,0,22.0,11.5,7.5,380,949,3843,STD EXP-A,4 - 5 Day/s,325,18,325,50,949,325,5,WESTBENGAL,22.5222914,88.34368549999999,1,0,False,ANDHRAPRADESH,13.4054237,79.7313685,0,0,True
7365,394515,517587,1,21.0,10.1,15.5,657,1223,20932,STD EXP-A,6 - 7 Day/s,460,18,460,70,1223,460,7,GUJARAT,21.1673056,72.7006667,0,0,True,ANDHRAPRADESH,13.4054237,79.7313685,0,0,True
7366,324008,517587,1,30.0,30.0,10.0,1800,1096,24020,PREMIUM,5 Day/s,1115,18,1115,170,1800,1115,5,RAJASTHAN,25.2,75.8288889,0,0,True,ANDHRAPRADESH,13.4054237,79.7313685,0,0,True
7367,370001,517587,0,34.0,33.0,35.0,7854,8301,20501,GROUND EXPRESS,8 - 9 Day/s,1125,18,1125,172,8301,1125,9,GUJARAT,23.39897795,69.69068865,0,0,False,ANDHRAPRADESH,13.4054237,79.7313685,0,0,True
7368,700082,641031,0,48.1,40.4,38.9,15118,18577,15723,GROUND EXPRESS,4 - 5 Day/s,2375,18,2375,362,18577,2375,5,WESTBENGAL,22.5222914,88.34368549999999,1,0,False,TAMILNADU,11.11005545,76.94041849999999,1,0,True
7369,570028,700082,1,33.7,32.2,10.0,2170,2043,12408,PREMIUM,3 Day/s,1245,18,1245,190,2171,1245,3,KARNATAKA,12.29936111,76.70113889,1,0,True,WESTBENGAL,22.5222914,88.34368549999999,1,0,False
7370,517587,700082,0,22.0,11.5,7.5,380,949,3843,STD EXP-A,3 - 4 Day/s,285,18,285,43,949,285,4,ANDHRAPRADESH,13.4054237,79.7313685,0,0,True,WESTBENGAL,22.5222914,88.34368549999999,1,0,False
7371,641031,700082,0,48.1,40.4,38.9,15118,18577,15723,GROUND EXPRESS,5 - 6 Day/s,1900,18,1900,290,18577,1900,6,TAMILNADU,11.11005545,76.94041849999999,1,0,True,WESTBENGAL,22.5222914,88.34368549999999,1,0,False
7372,570028,325219,1,22.0,11.5,7.5,380,279,7869,STD EXP-A,6 - 7 Day/s,190,18,190,29,380,190,7,KARNATAKA,12.29936111,76.70113889,1,0,True,RAJASTHAN,24.74,76.66499999999999,0,0,True
7373,570028,575018,1,30.0,30.0,10.0,1800,1516,12972,GROUND EXPRESS,4 - 5 Day/s,195,18,195,30,1895,195,5,KARNATAKA,12.29936111,76.70113889,1,0,True,KARNATAKA,12.7866789,74.9079167,1,0,True
7374,614702,575018,1,33.7,32.2,18.0,3900,2646,15454,PREMIUM,5 Day/s,1215,18,1215,185,3907,1215,5,TAMILNADU,79.535,10.5,1,0,True,KARNATAKA,12.7866789,74.9079167,1,0,True
7375,570028,575019,1,27.7,20.9,22.5,2605,2605,9301,GROUND EXPRESS,5 - 6 Day/s,195,18,195,30,2743,195,6,KARNATAKA,12.29936111,76.70113889,1,0,True,KARNATAKA,12.96506475,74.81388849999999,1,0,False
7376,574214,575019,1,21.7,11.5,6.6,329,787,1380,STD EXP-A,2 - 3 Day/s,150,18,150,23,787,150,3,KARNATAKA,13.03648315,75.30316875,1,0,True,KARNATAKA,12.96506475,74.81388849999999,1,0,False
