,CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude,LatitudeNum,Latitide_upt,Latitide_diff
46158,Bihar Circle,DivReportingCircle,Vaishali Division,Pohiar BO,844507,BO,Delivery,VAISHALI,BIHAR,85.5047120,25.6545100,85.504712,25.65451,59.850201999999996
46303,Karnataka Circle,South Karnataka Region,Chitradurga Division,Devaredduyhally B.O,577529,BO,Delivery,CHITRADURGA,KARNATAKA,14.7202500,76.7465870,14.72025,51.154541,-36.434291
46304,Karnataka Circle,South Karnataka Region,Chitradurga Division,Hanumanthanahally B.O,577529,BO,Delivery,CHITRADURGA,KARNATAKA,25.5910170,85.1603420,25.591017,51.154541,-25.563524
46305,Karnataka Circle,South Karnataka Region,Chitradurga Division,Hirehally B.O,577529,BO,Delivery,CHITRADURGA,KARNATAKA,14.5262210,76.6629290,14.526221,51.154541,-36.62832
46342,Karnataka Circle,South Karnataka Region,Chitradurga Division,Neralahalli B.O,577529,BO,Delivery,CHITRADURGA,KARNATAKA,14.6125780,76.7213270,14.612578,51.154541,-36.541963
46386,Punjab Circle,DivReportingCircle,Sangrur Division,Mauran BO,148108,BO,Delivery,BARNALA,PUNJAB,43.1900200,1.0320300,43.19002,31.509998,11.680021999999997
46411,Punjab Circle,DivReportingCircle,Sangrur Division,Katron BO,148025,BO,Delivery,SANGRUR,PUNJAB,52.2489230,6.5365190,52.248923,30.434262,21.814660999999997
46672,Haryana Circle,DivReportingCircle,Karnal Division,PPT Camp No. 2 B.O,132104,BO,Delivery,PANIPAT,HARYANA,36.3400000,36.3500000,36.34,25.3,11.040000000000003
46816,Jammukashmir Circle,DivReportingCircle,Jammu Division,Gitti BO,184206,BO,Delivery,KATHUA,JAMMU AND KASHMIR,22.2879290,114.1518980,22.287929,32.7559,-10.467970999999999
46856,Madhya Pradesh Circle,Indore Region,Sehore Division,Muktarnagar B.O,466651,BO,Delivery,SEHORE,MADHYA PRADESH,36.0643990,4.7713120,36.064399,19.766863,16.297536
46905,Jharkhand Circle,DivReportingCircle,Singhbhum Division,Arahasa BO,833103,BO,Delivery,WEST SINGHBHUM,JHARKHAND,22.4637,85.4556,22.4637,41.1171,-18.6534
46906,Jharkhand Circle,DivReportingCircle,Singhbhum Division,Tarkatkocha BO,833103,BO,Delivery,WEST SINGHBHUM,JHARKHAND,22.5076,85.3769,22.5076,41.1171,-18.6095
47014,Punjab Circle,DivReportingCircle,Sangrur Division,Himtana BO,148023,BO,Delivery,MALERKOTLA,PUNJAB,30.4525050,75.8671930,30.452505,15.383333,15.069171999999998
47015,Punjab Circle,DivReportingCircle,Sangrur Division,Khanpur BO,148023,BO,Delivery,MALERKOTLA,PUNJAB,28.6331830,70.6573690,28.633183,15.383333,13.249849999999999
47016,Punjab Circle,DivReportingCircle,Sangrur Division,Khanpur Mandian BO,148023,BO,Delivery,MALERKOTLA,PUNJAB,30.5568740,75.9702720,30.556874,15.383333,15.173541
47018,Punjab Circle,DivReportingCircle,Sangrur Division,Mubarkpur BO,148023,BO,Delivery,MALERKOTLA,PUNJAB,26.0809430,83.2987580,26.080943,15.383333,10.697610000000001
